mdf_mean_slope,mdf_mean_rho,mdf_mean_rho_p,mpf_mean_slope,mpf_mean_rho,mpf_mean_rho_p,rms_mean_slope,rms_mean_rho,rms_mean_rho_p,subject,exercise,label,repetition,n
-0.000664645959616927,-0.019298245614035085,0.9374978309415845,-0.0011088461948196174,-0.16315789473684209,0.504515720888777,0.006416472232704666,0.1649122807017544,0.49988058994796014,S01,1,6.0,1,19
-0.00447505690856917,-0.4280701754385965,0.0674881686246779,-0.004589935440746539,-0.5771929824561403,0.009665358426074319,-0.04217698648984643,-0.5070175438596491,0.02671905561891389,S01,1,6.0,2,19
0.0018424234974003435,0.08978328173374613,0.7231227825767574,0.0008651660357966972,0.11042311661506708,0.6626984309773885,0.05386324946888193,0.5087719298245614,0.031068538407296162,S01,1,6.0,3,18
-0.005024392395173062,-0.3353973168214654,0.17363506116754218,-0.004428420532574554,-0.47781217750258,0.04491215118822409,-0.014916340269649445,-0.06914344685242517,0.7851478708666942,S01,1,6.0,4,18
-0.0074142953361203785,-0.44117647058823534,0.08715363626051081,-0.006447097469332162,-0.6529411764705881,0.006102046679077001,-0.022065818251554525,-0.15882352941176472,0.5568612810855389,S01,1,6.0,5,16
-0.0018862796350773044,0.049999999999999996,0.859540943467457,0.0018051056577307973,0.23571428571428568,0.39770294590327293,0.008017796757786485,0.07857142857142857,0.7807545523090464,S01,1,6.0,6,15
-0.0013536201083314556,-0.23030142781597032,0.07416616551660005,-0.0007358535980027139,-0.20380750925436275,0.11515435638069649,-0.006223615010963208,-0.22771020624008456,0.0775725137986262,S01,1,7.0,1,61
0.0009987272581474358,0.11548619447779111,0.42450284930316773,0.0003866176562471958,0.08619447779111644,0.55172268105076,0.007928903054904209,0.06391356542617047,0.6592436204488079,S01,1,7.0,2,50
0.006424074350256089,0.3705738705738706,0.05706370948511218,0.00239368964360208,0.16727716727716724,0.40429895070397426,0.06078459141825365,0.5561660561660562,0.0025919435964923488,S01,1,7.0,3,27
-0.005143443562357925,-0.715406162464986,1.3660197258070886e-06,-0.0018756383490515166,-0.5098039215686275,0.0017580250013536506,-0.08311103435319268,-0.3854341736694678,0.022219317189065155,S01,1,7.0,4,35
0.0018303157242032966,0.26731589889484625,0.10470070651081233,6.619193098666556e-05,-0.007550060181639129,0.964117234320871,-0.00949068321050112,-0.018492176386913226,0.9122549162270623,S01,1,7.0,5,38
-0.0013509577768862405,-0.24567099567099573,0.07061973198118505,-0.0003313214347693276,-0.08571428571428573,0.5337970770631786,-0.01719655777237055,-0.09292929292929294,0.4997933938115754,S01,1,7.0,6,55
-0.000985968555921303,-0.18747135217723448,0.28837307403289636,-0.00035449368681587576,-0.1523300229182582,0.3897666610710857,-0.019378961842965486,-0.9107715813598166,7.786914662920887e-14,S01,1,10.0,1,34
-0.0028855555760174244,-0.27217741935483875,0.13853355016350638,-0.0011787648841769453,-0.15161290322580648,0.41554302669957277,-0.02817674925213414,-0.9290322580645163,4.7269141288031065e-14,S01,1,10.0,2,31
-0.004077611778962703,-0.5044354838709678,0.00380708014542501,-0.0025741891303608408,-0.4754032258064516,0.00687483303961631,-0.015855487934724515,-0.7161290322580646,5.898832189229071e-06,S01,1,10.0,3,31
-0.001180626860977507,-0.22058823529411767,0.21735696636640467,-0.0013119025216014886,-0.27774064171123,0.11759500229988346,-0.010415885950922368,-0.8241978609625669,3.760083964140246e-09,S01,1,10.0,4,33
0.0001171317369066076,-0.0875668449197861,0.6279815970315183,0.00041904386201794055,-0.08088235294117647,0.6545483098680835,-0.013812777190778596,-0.5818850267379679,0.0003822677635691532,S01,1,10.0,5,33
-0.0032221686639454785,-0.3344129554655871,0.03745313331867567,-0.002016229670653114,-0.3546558704453441,0.02673733139479528,-0.014058713446515112,-0.7091093117408906,4.355303357780231e-07,S01,1,10.0,6,39
-0.0042281840940802335,-0.4344537815126051,0.009110955700095628,-0.003331741152395976,-0.43221288515406164,0.009516753255127143,-0.017341449964556287,-0.546498599439776,0.0006824626012719012,S01,1,13.0,1,35
-0.0027298963334156314,-0.2914222873900293,0.10559965044268474,-0.0028375981430688135,-0.38306451612903225,0.03046163083032236,-0.018923097443150853,-0.5560850439882697,0.0009509274620600933,S01,1,13.0,2,32
-0.003480600193740099,-0.3708683473389356,0.0282865517483148,-0.002828340270688283,-0.38039215686274513,0.02418388371292831,-0.024696348770095244,-0.2358543417366947,0.17257024074915045,S01,1,13.0,3,35
0.01958357439562499,0.8508771929824561,3.889959117183733e-06,0.013533154459800276,0.8350877192982457,8.647203091664366e-06,0.022224219375027547,0.3526315789473684,0.13866298585442158,S01,1,13.0,4,19
0.01864317346475492,0.6348039215686275,0.006188697466695524,0.014063046698856156,0.6348039215686275,0.006188697466695524,0.04471453628091725,0.49509803921568635,0.043314416509935456,S01,1,13.0,5,17
-0.001555974425008408,-0.1483957219251337,0.40983928056969854,-0.00098602483939329,-0.12934491978609627,0.47312597132579703,-0.02515927540394567,-0.42479946524064177,0.01373312545841651,S01,1,13.0,6,33
